name;urls;description
AceUp;http://aceup.com, https://twitter.com/@AceUpOfficial, http://crunchbase.com/organization/aceup;AceUp delivers personalized executive coaching to connect employees with their full-potential.
A-Champs;http://a-champs.com, https://twitter.com/@achampsofficial, http://crunchbase.com/organization/a-champs;A-Champs develops interactive, gamified and sports-science based training solutions for people of all ages and fitness levels.
Aclymate;http://aclymate.com, https://twitter.com/@AclymateCarbon, http://crunchbase.com/organization/aclymate;Aclymate empowers small businesses to become Climate Leaders
ACT House;http://act.house, http://crunchbase.com/organization/act-house;ACT House combines affordable housing and innovation amenities in a coliving model to accelerate the creation of minority owned ventures.
Activated Scale;http://activatedscale.com, http://crunchbase.com/organization/activated-scale;Marketplace connecting startups and small businesses with vetted and experienced freelance sales talent
acuteIQ;http://acuteiq.com, https://twitter.com/@AcuteIq, http://crunchbase.com/organization/acquteiq;acuteIQ is a customer acquisition platform targeting the enterprise lending market.
AdaptiLab;http://adaptilab.com, https://twitter.com/@AdaptiLab, http://crunchbase.com/organization/adaptilab;Growing machine learning teams from hiring to productivity.
Adaptively Education;http://adaptivelyeducation.com, https://twitter.com/@adaptivelyeducation, http://crunchbase.com/organization/adaptively-education;Adaptively Education seamlessly delivers live virtual teacher-led classroom experiences to help students reach their academic goals.
Additive Rocket Corporation;http://arc-engines.com, https://twitter.com/@ARCengines, http://crunchbase.com/organization/additive-rocket-corporation;Additively manufactured rocket engines
Additive Space Technologies;http://additivespacetech.com;
Additor;http://additor.io, https://twitter.com/@additor_io, http://crunchbase.com/organization/additor;Additor is the new standard of docs for modern collaborators. It's the living knowledge library to organize various formats of content and share ideas.
AddStructure;http://addstructure.com, https://twitter.com/@addstructure, http://crunchbase.com/organization/addstructure;A natural language platform that greatly improves the search relevancy of e-commerce search engines.
ADEx;http://adex.ai, https://twitter.com/@theadexai, http://crunchbase.com/organization/adexai;Next-generation contract intelligence platform powered by A.I.
ADOPETS;http://adopets.com, https://twitter.com/@adopetsus, http://crunchbase.com/organization/adopets;For pet lovers seeking a friend for life, Adopets provides the best online adoption for you, your pet and your community.
ADstruc;http://adstruc.com, https://twitter.com/@ADstruc, http://crunchbase.com/organization/adstruc;Tech platform for outdoor advertising
AdvanceEDU;http://myadvanceedu.org, http://crunchbase.com/organization/advanceedu;An innovative, team-based approach to college and career.
Advize.ai;http://advize.ai, https://twitter.com/@advizeai, http://crunchbase.com/organization/advize-a607;Automatic intelligent insights from customer conversations
AdYapper;http://adyapper.com, https://twitter.com/@AdYapper, http://crunchbase.com/organization/adyapper-com;The industry leader in ad viewability & transparency
Aerialoop;http://aerialoop.com, http://crunchbase.com/organization/aerialoop-corp;AERIALOOP WAS FOUNDED WITH THE BELIEF THAT DRONE DELIVERY WILL FUNDAMENTALLY IMPROVE OUR LIVES. WE ARE DEVELOPING CORE TECHNOLOGIES FOR OPERATIONAL EXCELLENCE, MIRRORING THE HIGH STANDARDS AND SAFETY OF THE CIVILIAN AIRLINE INDUSTRY TO GROW THE WORLD'S FIRST DRONE DELIVERY AIRLINE TO HAVE IMPACT AT SCALE
Aerotronic;http://aerotronic.co, https://twitter.com/@Aerotronic_co, http://crunchbase.com/organization/aerotronic;We provide information about the physical state of powerline assets to power utilities using manned helicopters + AI.
Affectly;http://affectly.com, https://twitter.com/@affectlyapp, http://crunchbase.com/organization/edtrips;An automated donor engagement platform for data-driven online fundraising
Afineur;http://afineur.com, https://twitter.com/@eatcultured, http://crunchbase.com/organization/afineur;Afineur is developing fermentation technologies to enhance food flavor & nutritional profile
Afloat;http://afloat.life, https://twitter.com/@afloatlife, http://crunchbase.com/organization/afloat;The gifting app that connects users to local businesses for curated same-day gifting.
AfriBlocks;http://afriblocks.com, https://twitter.com/@afriblocks, http://crunchbase.com/organization/afriblocks;The Pan-African Freelance Talen Network
AfroLandTV;http://afrolandtv.com, https://twitter.com/@afrolandtv, http://crunchbase.com/organization/afrolandtv;AfroLandTV is a free online streaming service for afro-centric TV shows and movies from Africa and its diaspora.
AfterShoot;http://aftershoot.co, https://twitter.com/@aftershootco;The fastest tool to automatically select the best photos by detecting unwanted blinks, camera shake, duplicate photos and much more.
AgadoLive;http://agadolive.com, http://crunchbase.com/organization/agado;Enables wellness businesses to create and deliver effective remote sessions, and eventually, make them available in the metaverse.
AgHelp;http://aghelpusa.com, https://twitter.com/@agriculturehelp, http://crunchbase.com/organization/aghelp-llc;Resolving the agricultural labor shortage by empowering workers to find job and support resources nationally.
AgiliCity;http://modelur.eu, https://twitter.com/@modelur, http://crunchbase.com/organization/modelur;Modelur is an easy-to-use, yet very powerful parametric urban design software tool.
Agovest;http://agovest.com, http://crunchbase.com/organization/a-govest;For the 125M middle-income women in LATAM struggling with financial stress, A'govest offers a gamified financial platform, backed by behavioral research, that empowers women to build wealth using our marketplace for embedded finance.
AgroCenta;http://agrocenta.com, https://twitter.com/@agrocenta, http://crunchbase.com/organization/agrocenta;Agricultural technology platform creating shared value for smallholder farmers and businesses
AGTools;http://ag.tools, https://twitter.com/@ag_tools, http://crunchbase.com/organization/agtools;AgTools is a real-time data and intelligence platform that provides transparency to the global food & ag industry.
AidBanc;http://aidbanc.com, https://twitter.com/@aidbanc, http://crunchbase.com/organization/aidbanc;A digital banking and spend management platform for global NGOs.
Aidos Healthcare;http://inferencesolutions.com, https://twitter.com/@InferenceHealth;Inference Health leverages machine learning to discover insights in healthcare data and supercharge back-office processes for healthcare insurers.
AID:Tech;http://aid.technology, https://twitter.com/@aidtechnology, http://crunchbase.com/organization/aid-tech;AID:Tech brings social & financial inclusion to the world's underserved population through digital identity
Aimo;http://aimo.co, https://twitter.com/@aimohq, http://crunchbase.com/organization/aimo-70f2;Aimo helps small shops in Latin America sell more directly via Whatsapp by providing them customer data that turns into marketing recommendations and sales move
Aire;http://aire.io, https://twitter.com/@airescore, http://crunchbase.com/organization/aire;Aire is a fresh approach to credit scoring for consumers. Enabling fair access for those cut out of the credit ecosystem. Made in London, for the World.
AirFox;http://airfox.io, https://twitter.com/@_airfox, http://crunchbase.com/organization/airfox;AirFox enables free mobile internet by letting sponsors pay for mobile data. AirFox partners directly with mobile carriers to offer a sponsored data platform.
Airpost;http://airpost.io, https://twitter.com/@airpostio, http://crunchbase.com/organization/airpost-io;Cloud Application Management
Airspace Link;http://airspacelink.com, https://twitter.com/@AirspaceLink, http://crunchbase.com/organization/airspace-link;Partnering with the FAA and your local community to build вЂњHighways in the SkyвЂќ for safer drone operations.
Air Tailor;http://airtailor.com, https://twitter.com/@airtailor, http://crunchbase.com/organization/air-tailor;On demand clothing alterations & repairs for consumers and retailers.
Aiva;http://aiva.ai, https://twitter.com/@aiva_health, http://crunchbase.com/organization/aiva-health;Aiva is the voice-powered OS for patient-centered healthcare.
Akdemia;http://akdemia.com, https://twitter.com/@somosakdemia, http://crunchbase.com/organization/akdemia;The most comprehensive and easy to use school management platform. All in the cloud, wherever you go. Get your school started in less than 10 minutes.
Akibah Health;http://akibah.com, https://twitter.com/@TeamGluCase, http://crunchbase.com/organization/akibah;Akibah Health harnesses the power of mobile health tech and data science to give people the knowledge and recommended actions to live longer and healthier.
Akouba Credit;http://akoubacredit.com, https://twitter.com/@akoubacredit, http://crunchbase.com/organization/akoubacredit;AkoubaCredit streamlines small business lending for community and regional banks to meet regulations and make it profitable again.
Alba Robotics;http://alba-robot.com, http://crunchbase.com/organization/alba-robot;We add Autonomous Driving to electric personal vehicles
Albert Health;http://albert.health, https://twitter.com/@albert_health, http://crunchbase.com/organization/albert-health;Albert is a voice-based health assistant that helps patients to take the right dose at the right time and make life easier for caregivers.
Albo;http://albosys.com, https://twitter.com/@AlboClimate, http://crunchbase.com/organization/albo-systems;Albo analyzes satellite imagery to survey soil deep beneath the surface, empowering farmers to grow more efficiently and more sustainably.
Alena;http://my-aya.co, https://twitter.com/@meet_alena, http://crunchbase.com/organization/alena;Alena uses computational neuroscience to deliver tailored mental health solutions.
Aleria PBC;http://aleria.tech, https://twitter.com/@AleriaPbc, http://crunchbase.com/organization/aleria-pbc;We measure inclusion in the workplace and pinpoint where organizations should focus to drive impact.
Alexsei;http://alexsei.com, https://twitter.com/@AlexseiLaw, http://crunchbase.com/organization/alexsei;Provides precise answers to complex legal questions for lawyers, and is building the first fully autonomous lawyer for legal research.
AlgenAir;http://algenair.com, https://twitter.com/@AlgenAir, http://crunchbase.com/organization/algenair;The first natural air purifier that reduces CO2 using an algae subscription service.
AlGooru;http://algooru.com, https://twitter.com/@al_gooru, http://crunchbase.com/organization/algooru;A tutoring network platform that connects students with tutors on an app.
AlgoPay;http://algopay.io, https://twitter.com/@algopay_io, http://crunchbase.com/organization/algopay;AlgoPay is a payment solution for online businesses in cash economies, starting in the Middle East where there's over $1.3T handled in cash. Think: Stripe, for
Algosave;http://algosave.com, https://twitter.com/@algosave_RS, http://crunchbase.com/organization/algosave-integrate-risk-and-finance;ALGOSAVE FinTech directly boosts profitability of banks $-trillions Corporate and Investment Banking - CIB - businesses.
Alice's Table;http://alicestable.com, https://twitter.com/@alices_table, http://crunchbase.com/organization/alice-s-table;Alice's Table provides women a scalable platform to build flexible businesses through flower arranging events.
aliciabots;http://aliciabots.com, http://crunchbase.com/organization/aliciabots;Robotics start-up building the cheapest and most effective autonomous, robotic hull cleaning solution for ocean-going vessels
Aligned Business;http://alignedbiz.com, https://twitter.com/@OrigamInsureTec, http://crunchbase.com/organization/aligned-business;A SaaS platform that allows insurers to create and deploy any insurance product to market in weeks instead of years at a fraction of the cost.
alive5;http://alive5.com, https://twitter.com/@wearealive5, http://crunchbase.com/organization/alive5#section-overview;Messaging meets payments
ALIVE Podcast Network;http://alivepodcastnetwork.com, http://crunchbase.com/organization/alive-podcast-network;The ALIVE Podcast Network is designed with the black creative and receiver at the heart of the platform.
Alkemi AI;http://alkemi.network, https://twitter.com/@AlkemiNetwork, http://crunchbase.com/organization/alkemi-ai-inc;Decentralized Finance for Institutions
Alkemy Environmental;http://alkemyenvironmental.com, https://twitter.com/@alkemyenviron, http://crunchbase.com/organization/peter-kombouras-2;Alkemy holds patented technology that recycles waste into concrete aggregate.
Allegiance;http://youthere.ai, https://twitter.com/@concierge_home, http://crunchbase.com/organization/concierge;Text your hotel. Supported by a clever AI.
Allhers;http://forallhers.com, http://crunchbase.com/organization/allhers;Allhers is a local, women-only, buy and sell community. We fix local buy and sell for its 88 million primary users, women.
Allie;http://alliebot.com, https://twitter.com/@alliebotHQ, http://crunchbase.com/organization/allie-2;We help companies build inclusive culture.
Allison;http://tryallison.com, https://twitter.com/@tryallison, http://crunchbase.com/organization/allison-051f;A low code BaaS platform for Community Banking & Fintechs.
Alloy;http://alloy.co, https://twitter.com/@usealloy, http://crunchbase.com/organization/alloy-2;Customer data and onboarding API to improve conversion and reduce losses for financial services companies
Allstacks;http://allstacks.com, https://twitter.com/@allstacksapp, http://crunchbase.com/organization/allstacks;Allstacks quantifies productivity of your software engineering, delivering engineering managers visibility into team performance.
Alpha Drive;http://alphadrive.ai, https://twitter.com/@alphadriveai, http://crunchbase.com/organization/alpha-drive-inc;Alpha Drive is a Platform-as-a-Service for testing and validating AI algorithms - starting with autonomous vehicles - through cloud based simulation.
Alpha Exchange;http://alpha-exchange.com, https://twitter.com/@alpha_exchange, http://crunchbase.com/organization/alpha-exchange;Alpha Exchange is the first open network and knowledge exchange for the capital markets community.
Alpin;http://alpin.io, https://twitter.com/@Alpin__io, http://crunchbase.com/organization/alpin;Alpin cuts subscription costs by up to 30% and saves time on SaaS monitoring and management.
Altru;http://altrulabs.com, https://twitter.com/@altrulabs, http://crunchbase.com/organization/altru;Altru's video Q&A platform allows companies to share their story through their employees.
AltScore;http://altscore.ai, https://twitter.com/@altscore_ai, http://crunchbase.com/organization/altscore;AltScore increases the access to loans for small and medium business in Latin America
ALTVIA;http://altvia.com, https://twitter.com/@altvia, http://crunchbase.com/organization/altvia;Solutions for alternative asset managers
Alva Health;http://alva-health.com, https://twitter.com/@alvahealth, http://crunchbase.com/organization/alva-health;Developing a wearable neuromonitoring platform with the first indication in real time stroke detection.
alvee;http://alvee.io, https://twitter.com/@alveehealth, http://crunchbase.com/organization/alvee;AI-driven tools to advance health equity and improve health outcomes for all
Alyne;http://alyne.com, https://twitter.com/@alyne, http://crunchbase.com/organization/alyne;Manage operational risk and technology compliance in one smart solution.
Ambassador;http://getambassador.com, https://twitter.com/@Ambassador, http://crunchbase.com/organization/ambassador;Referral, Partner and Affiliate Tracking and Management.
Ambee;http://getambee.com, https://twitter.com/@get_ambee, http://crunchbase.com/organization/ambee-e9c7;Ambee aims to make hyperlocal air quality data accessable to developers, consumers, health researchers and media companies
Ambie;http://ambie.fm, https://twitter.com/@ambiefm, http://crunchbase.com/organization/ambie;Ambie is personalised, music streaming service for businesses.
Ambit;http://ambitpay.co, https://twitter.com/@ambitvpn, http://crunchbase.com/organization/ambit-8979;Ambit facilitates and transparently logs payments between insurers and providers on the blockchain while protecting patient privacy.
Amelia;http://itsamelia.com, https://twitter.com/@ameliaaero, http://crunchbase.com/organization/amelia-d249;Amelia is a global integrated aeronautics company that provides charter and ACMI services for business, corporate, and regional travel.
Amino;http://narvii.com, https://twitter.com/@aminoapps, http://crunchbase.com/organization/narvii;Mobile micro communities
AmorSui;http://amorsuiclothing.com, https://twitter.com/@AmorsuiC, http://crunchbase.com/organization/amorsui;AmorSui offers premium connected, integrated safety products that bring sustainability to healthcare innovators
Ampaire;http://ampaire.com, https://twitter.com/@ampaireinc, http://crunchbase.com/organization/ampaire;Ampaire is making flying accessible to more people by building electric aircraft that are greener, quieter, and less costly to operate.
Ampd.io;http://ampd.io, https://twitter.com/@MetricStory, http://crunchbase.com/organization/ampd;Ampd is an intelligent platform that finds unrealized revenue opportunities in GA data and delivers timely, actionable alerts & insights to your inbox.
Amper Music;http://ampermusic.com, https://twitter.com/@ampermusic, http://crunchbase.com/organization/amper-music;Amper is an artiп¬Ѓcial intelligence composer, performer, and producer that creates unique, professional music, tailored to any content, in seconds.
AmpIdea;http://ampidea.com, https://twitter.com/@ampidea, http://crunchbase.com/organization/ampidea;Web-enabled baby monitors
Ampogee;http://ampogee.com, https://twitter.com/@getampogee, http://crunchbase.com/organization/ampogee;We Make Work Matter
Analytical Flavor Systems;http://gastrograph.com, https://twitter.com/@Gastrograph, http://crunchbase.com/organization/gastrograph;Predictive manufacturing for the food and beverage industry
AND Global;http://and.global, https://twitter.com/@ANDGlobalPte, http://crunchbase.com/organization/and-global-and-systems;Mongolian-born, Singapore-headquartered, Globally-ambitious a true FinTech company
Andia;http://andia.io, https://twitter.com/@Andia_io, http://crunchbase.com/organization/andia;Prevent False Declines from taking away from your revenue
andMe;http://priceandme.com, https://twitter.com/@PriceandMe, http://crunchbase.com/organization/pricenme;PandMe is your вЂњPersonal Shopping AssistantвЂќ that will bring you a great sense of relief by solving your shopping problems.
Ankra;http://ankra.io, http://crunchbase.com/organization/ankra;End-to-end developer platform
Anna Marie Events, Inc. dba Metavent;http://metavent.io, https://twitter.com/@metaventful, http://crunchbase.com/organization/metavent;Metavent is the All-Hands meeting solution for companies of up to 1,000 employees who need fully engaged, aligned and inspired teams.
Another-Lane;http://another-lane.com, https://twitter.com/@AnotherLane_, http://crunchbase.com/organization/another-lane-ca61;A membership based digital marketplace catering to sneaker resellers wanting to grow their business and bring authenticity back to the sneaker community.
AnsuR;http://ansur.no, https://twitter.com/@ansurtech, http://crunchbase.com/organization/ansur-technologies-as;High Precision Mission critical visual communication
Answerbite;http://answerbite.com, http://crunchbase.com/organization/mulupod;AnswerBite powers enterprise marketing teams with customer insights in minutes, not days.
AnswersNow;http://getanswersnow.com, https://twitter.com/@answersnow, http://crunchbase.com/organization/answersnow;The mobile platform that gives on-demand support to special needs families through connections with expert clinicians and personalized automated lessons.
Anthill;http://anthillai.com, https://twitter.com/@anthillai, http://crunchbase.com/organization/anthill-ai;Anthill enables companies to retain, engage, and develop employees when work happens away from the office.
AnyaUp;http://tourwithme.com, https://twitter.com/@cometourwithme, http://crunchbase.com/organization/tourwithme-inc;B2BC high growth technology company.
Anycart;http://anycart.com, https://twitter.com/@shopanycart, http://crunchbase.com/organization/anycart;Anycart helps you build your shopping cart and get it fulfilled by your favorite grocery retailer.
AnyLedger;http://anyledger.io, https://twitter.com/@anyledgerio, http://crunchbase.com/organization/anyledger;We enable Industrial IoT devices to generate trusted data and securely transact between each other.
Anything World;http://anything.world, https://twitter.com/@_AnythingWorld, http://crunchbase.com/organization/anything-world;A platform to create worlds powered by voice and populated with anything you can think of - with AI behaviours applied!
Anytype;http://anytype.io, https://twitter.com/@anytypeHQ, http://crunchbase.com/organization/anytype;Unified User Interface for Web3.0
Apiary;http://apiary.io, https://twitter.com/@apiaryio, http://crunchbase.com/organization/apiary;API development and management tools
Aplic Platform;http://aplic.io, https://twitter.com/@aplicplatform, http://crunchbase.com/organization/aplic-io;Solving global higher education's financial crisis by matching universities and colleges with students seeking study abroad opportunities
Apollo;http://okapollo.com, https://twitter.com/@apolloglobal, http://crunchbase.com/organization/apollo-voice;Apollo is a TALKING self driving car.
Apostrophe;http://apostrophehealth.com, https://twitter.com/@apostrophehc, http://crunchbase.com/organization/apostrophe-inc;An innovative health plan that saves self-insured employers up to 40% on their healthcare costs, while making their employees happier and healthier.
Apparier;http://apparier.com, https://twitter.com/@myapparier, http://crunchbase.com/organization/apparier;Our software solution allows the restaurant team to sell their best products, when they want, through our product management system.
Appbase;http://appbase.io, https://twitter.com/@appbaseio, http://crunchbase.com/organization/appbase;A database service for streaming search and analytics queries
Appetas;http://appetas.com, https://twitter.com/@Appetas, http://crunchbase.com/organization/appetas;Make restaurant websites beautiful
AppInsight;http://appinsight.co, https://twitter.com/@app_inside, http://crunchbase.com/organization/appinside;Mobile application security
APPLICA.AI;http://applica.ai, https://twitter.com/@applica_ai, http://crunchbase.com/organization/applica-ai;The Applica AI-based solution assists and replaces the human workforce in business processes that require comprehending vast volumes of unstructured text.
Applied Particle Technology;http://appliedparticletechnology.com, http://crunchbase.com/organization/applied-particle-technology;Automated environmental health & safety for mining and metals manufacturing using real-time data.
AppliedVR;http://appliedvronline.com, https://twitter.com/@appliedvrhealth, http://crunchbase.com/organization/https:;Virtual reality for enhanced patient experience in healthcare around pain and anxiety management.
App Samurai;http://appsamurai.com, https://twitter.com/@AppSamurai, http://crunchbase.com/organization/app-samurai;App Samurai is a next-generation mobile growth company powered by a combination of AI and exceptional team.
Appsembler;http://appsembler.com, https://twitter.com/@appsembler, http://crunchbase.com/organization/appsembler;Appsembler is the leading hosted platform for online corporate training and professional development
AppSheet;http://appsheet.com, https://twitter.com/@appsheet, http://crunchbase.com/organization/appsheet;AppSheet lets you create mobile apps automatically and instantly
Apptentive;http://apptentive.com, https://twitter.com/@apptentive, http://crunchbase.com/organization/apptentive;Mobile customer engagement software that helps companies listen, engage, and retain customers through intelligent in-app messages, surveys, and ratings prompts.
App The Game;http://swoopt.com, https://twitter.com/@Swoopt, http://crunchbase.com/organization/appthegame;Legal Sports Betting from Your Phone
Apres.io;http://apres.io, https://twitter.com/@apres_io, http://crunchbase.com/organization/apres-7af0;The data platform that helps companies build explainable AI.
Apsy.io;http://apsy.io, https://twitter.com/@apsymachine, http://crunchbase.com/organization/apsy-inc;The first conversational AI platform to build fully-custom apps just by conversation
AQUAOSO Technologies;http://aquaoso.com, https://twitter.com/@aquaosotech, http://crunchbase.com/organization/aquaoso;AQUAOSO provides research and risk analysis tools for lenders, appraisers, lawyers and researchers.
AquaRealTime;http://algaetracker.com, https://twitter.com/@Chrisaquarealt1, http://crunchbase.com/organization/aquarealtime;AlgaeTracker is a revolutionary Early Warning System for Harmful Algae Blooms (HABs) and other water pollutants
Aquifer Motion;http://aquifermotion.com, https://twitter.com/@aquifermotion, http://crunchbase.com/organization/aquifer-motion;Platform provides powerful cloud-based features to enable artists, animators, and other 3D creators to work more effectively, and efficiently than ever before
Aqulytics;http://aqulytics.com, https://twitter.com/@aqulytics, http://crunchbase.com/organization/aqulytics;Aqulytics is a cloud-based platform to help governments, businesses, NGOs and communities, track and protect freshwater resources.
Ara;http://arascreens.com, https://twitter.com/@GetCargoToday, http://crunchbase.com/organization/ara-labs-3619;The in-car marketplace for the ride-sharing economy. Drivers earn more money and improve their riders' experience by providing essential goods on-the-go.
Arachnys;http://arachnys.com, https://twitter.com/@arachnys, http://crunchbase.com/organization/arachnys;Emerging markets business data
Arch Finance;http://archfinance.com.au, https://twitter.com/@archdefi, http://crunchbase.com/organization/arch-finance;Arch Finance is a financial company that offers real estate mortgage services.
Arctic Fox AI;http://afxmedical.com, https://twitter.com/@afxmedical, http://crunchbase.com/organization/arctic-fox-ai;AI-powered d etection of abnormalities in neuroimaging for oncology.
Arena;http://arena.im, https://twitter.com/@Stationfy, http://crunchbase.com/organization/arena-im;Arena is the go-to place for sports fans to chat and watch the best moments from live events.
A Retail Space;http://aretailspace.com, https://twitter.com/@aretailspace, http://crunchbase.com/organization/aretailspace;A Retail Space finds the perfect location for your business through data
Arete;http://fitmind.app, https://twitter.com/@getarete;Arete is an AI-powered coach that improves youth athletes' mental wellbeing and performance.
Arextech;http://arex.technology, https://twitter.com/@arextech, http://crunchbase.com/organization/arextech;Arextech creates digital collaborative workspaces that allows to streamline real estate management and transaction processes.
Armada IQ;http://armadaiq.com, http://crunchbase.com/organization/armadaiq;Shaping a hybrid autonomous future, where autonomy integrates with humanity through trust.
ARpalus;http://arpalus.com, https://twitter.com/@getaroundmx, http://crunchbase.com/organization/arus;ARpalus helps CPG and Retailers in optimizing their in-store operations and product-availability using real-time computer-vision on tablets and smartphones
Arqlite;http://arqlite.com, https://twitter.com/@arqlite, http://crunchbase.com/organization/arqlite;Arqlite develops scalable technologies to transform the unrecyclable plastics into efficient materials for the built environment.
Arrived;http://arrivedhomes.com, https://twitter.com/@ArrivedHomes, http://crunchbase.com/organization/arrived-homes;Arrived is a platform for investing in equity shares of rental homes, starting from $100.
Artboard Studio;http://artboard.studio, https://twitter.com/@artboard_studio, http://crunchbase.com/organization/artboard-studio;Artboard Studio is an online graphic design and animation platform for digital branding and content creation.
Artera.io;http://artera.io, https://twitter.com/@WELLHealthInc, http://crunchbase.com/organization/well-health-inc;WELL is a powerful communication tool that allows front offices to have two-way text conversations with patients, using existing office phone numbers.
Articulate Labs;http://articulatelabs.com, http://crunchbase.com/organization/articulate-labs;On-the-go physical therapy and rehabilitation through muscle stimulation and machine learning.
ARWAY;http://arway.app, https://twitter.com/@arway_app, http://crunchbase.com/organization/arway;We're powering camera devices with AI to recognize their surroundings without GPS for hyper-accurate location apps.
Arweave;http://arweave.org, https://twitter.com/@arweaveteam, http://crunchbase.com/organization/arweave;On demand permanent data storage
Asanify;http://asanify.com, https://twitter.com/@asanifyhq, http://crunchbase.com/organization/asanify-technologies-private-limited;Asanify simplifies HR and automates payroll compliances for small business owners in India and APAC with HR on chatbots such as Slack and Whatsapp.
Asgard;http://asgard.ai, https://twitter.com/@asgardai, http://crunchbase.com/organization/asgard-ai;Our AI-powered detection and matching engine identifies companies that have expressed the right buying signals for your solution.
